candel_date_time,prp_close
2023-02-18 16:00:00,31715609.77978592
2023-02-18 17:00:00,31716178.72875901
2023-02-18 18:00:00,31747151.780411497
2023-02-18 19:00:00,31571721.842790827
2023-02-18 20:00:00,31681594.96494575
2023-02-18 21:00:00,31767000.248956427
2023-02-18 22:00:00,31772563.87000905
2023-02-18 23:00:00,31829702.40903221
2023-02-19 00:00:00,31856233.59191321
2023-02-19 01:00:00,31812789.389622614
2023-02-19 02:00:00,31839972.548712924
2023-02-19 03:00:00,31941022.662689462
2023-02-19 04:00:00,31810977.762092635
2023-02-19 05:00:00,31783788.16192333
2023-02-19 06:00:00,31807357.05148033
2023-02-19 07:00:00,31797571.521073297
2023-02-19 08:00:00,31798769.386117384
2023-02-19 09:00:00,31878392.75764136
2023-02-19 10:00:00,31898527.055823937
2023-02-19 11:00:00,31959897.47712977
2023-02-19 12:00:00,31931376.412730858
2023-02-19 13:00:00,31946209.56392707
2023-02-19 14:00:00,32031686.836556032
2023-02-19 15:00:00,31871691.101321265
2023-02-19 16:00:00,31891896.78987284
2023-02-19 17:00:00,31826217.82489945
2023-02-19 18:00:00,31786635.44485803
2023-02-19 19:00:00,31827665.73189308
2023-02-19 20:00:00,31833326.856665805
2023-02-19 21:00:00,31834862.29348693
2023-02-19 22:00:00,31838383.66605265
2023-02-19 23:00:00,31868147.211332813
2023-02-20 00:00:00,32016412.397335216
2023-02-20 01:00:00,32149855.77430297
2023-02-20 02:00:00,31675639.93328209
2023-02-20 03:00:00,31672953.24595104
2023-02-20 04:00:00,31780915.599032983
2023-02-20 05:00:00,31601863.935630515
2023-02-20 06:00:00,31724306.542605087
2023-02-20 07:00:00,31749699.316706315
2023-02-20 08:00:00,31466602.11771424
2023-02-20 09:00:00,31441299.41744428
2023-02-20 10:00:00,31212674.206758097
2023-02-20 11:00:00,31388553.9246469
2023-02-20 12:00:00,31533942.30157836
2023-02-20 13:00:00,31647011.06116654
2023-02-20 14:00:00,31574143.40795742
2023-02-20 15:00:00,31573680.10484259
